Mean,Median,StdDev,Variance,RMS,Max,Skewness,Kurtosis,FileName
-0.006252931,-0.001193394,0.02455338,0.000602868,0.025335628,0.07137629,-0.125177995,-0.793947442,1000_FGBSIRFB
-0.006254324,-0.001123106,0.024579827,0.000604168,0.025361599,0.06685052,-0.127587908,-0.782383667,1000_FGBSIRFB
-0.006144118,-0.000680963,0.024579632,0.000604158,0.025334458,0.06779173,-0.130934068,-0.776531396,1000_FGBSIRFB
-0.006796412,-0.001710436,0.024567857,0.00060358,0.025489157,0.06798267,-0.125751187,-0.776209823,1000_FGBSIRFB
-0.007025028,-0.001729755,0.024492587,0.000599887,0.025478709,0.06738036,-0.138276358,-0.799009549,1000_FGBSIRFB
-0.007221019,-0.00198418,0.024380766,0.000594422,0.025426213,0.07056105,-0.131343471,-0.780878935,1000_FGBSIRFB
-0.0069271,-0.001719068,0.024462225,0.0005984,0.025422669,0.07209983,-0.125849797,-0.773243023,1000_FGBSIRFB
-0.007482192,-0.002210737,0.024506654,0.000600576,0.025621982,0.0676463,-0.137399694,-0.764422597,1000_FGBSIRFB
-0.006712476,-0.001577447,0.024523151,0.000601385,0.025423785,0.06803484,-0.135351991,-0.772772785,1000_FGBSIRFB
-0.006491169,-0.001289159,0.024503094,0.000600402,0.025346866,0.0687867,-0.132886689,-0.778992466,1000_FGBSIRFB
-0.006362544,-0.000962666,0.024465965,0.000598583,0.025278298,0.06961808,-0.142484349,-0.786742839,1000_FGBSIRFB
-0.006188743,-0.000958453,0.024496475,0.000600077,0.02526469,0.07288532,-0.132194709,-0.768850387,1000_FGBSIRFB
-0.006297256,-0.001074385,0.024428633,0.000596758,0.025225795,0.07181033,-0.129613609,-0.772740429,1000_FGBSIRFB
-0.00611163,-0.000437996,0.024498802,0.000600191,0.02524817,0.07070538,-0.134127689,-0.782667386,1000_FGBSIRFB
-0.006694107,-0.00144883,0.024539277,0.000602176,0.025434498,0.07226152,-0.119589888,-0.735712416,1000_FGBSIRFB
-0.006584445,-0.001066894,0.024541138,0.000602267,0.025407654,0.07184172,-0.126310367,-0.773354205,1000_FGBSIRFB
-0.006666841,-0.001580397,0.024651236,0.000607683,0.025535388,0.07026497,-0.128360007,-0.765362863,1000_FGBSIRFB
-0.00648819,-0.001296418,0.02462468,0.000606375,0.02546365,0.06894358,-0.12958892,-0.770960201,1000_FGBSIRFB
-0.006632565,-0.001503896,0.024544122,0.000602414,0.025423047,0.06794604,-0.116639233,-0.764229968,1000_FGBSIRFB
-0.006571041,-0.00128529,0.024569208,0.000603646,0.025431297,0.06771802,-0.125826623,-0.751422228,1000_FGBSIRFB
-0.006694966,-0.001826169,0.02458455,0.0006044,0.0254784,0.07113843,-0.128442591,-0.774443279,1000_FGBSIRFB
-0.006425056,-0.001485616,0.024546415,0.000602527,0.02537192,0.07228253,-0.125377631,-0.766859394,1000_FGBSIRFB
-0.005764047,-0.000634117,0.02454273,0.000602346,0.025209052,0.06925753,-0.134698366,-0.789174593,1000_FGBSIRFB
-0.006055108,-0.000872689,0.024523941,0.000601424,0.025258951,0.06749673,-0.128240392,-0.787783615,1000_FGBSIRFB
-0.006255822,-0.001199772,0.024554945,0.000602945,0.025337857,0.067609,-0.126480473,-0.785451886,1000_FGBSIRFB
-0.006188364,-0.001135766,0.024600483,0.000605184,0.025365444,0.07037218,-0.120814358,-0.783866304,1000_FGBSIRFB
-0.006225281,-0.001346913,0.024627557,0.000606517,0.025400721,0.07202739,-0.120846758,-0.785289739,1000_FGBSIRFB
-0.006291278,-0.001333505,0.024504531,0.000600472,0.025297805,0.06983766,-0.121404671,-0.778447071,1000_FGBSIRFB
-0.006165206,-0.001331413,0.024576896,0.000604024,0.025336926,0.06856716,-0.118114262,-0.794677239,1000_FGBSIRFB
-0.00636893,-0.001406272,0.024538981,0.000602162,0.025350569,0.07191166,-0.116681835,-0.767115232,1000_FGBSIRFB
-0.006895686,-0.001976954,0.024528318,0.000601638,0.025477744,0.06619927,-0.133720317,-0.798446654,1000_FGBSIRFB
-0.007033074,-0.002355918,0.024643228,0.000607289,0.025625742,0.06882124,-0.111442267,-0.755060544,1000_FGBSIRFB
-0.006270229,-0.001146544,0.024540691,0.000602246,0.025327609,0.07220052,-0.1309281,-0.786206841,1000_FGBSIRFB
-0.006158143,-0.000993391,0.024528291,0.000601637,0.025288068,0.07254072,-0.128446872,-0.764602532,1000_FGBSIRFB
-0.006421392,-0.001104949,0.024534972,0.000601965,0.025359922,0.07062483,-0.134546084,-0.789437324,1000_FGBSIRFB
